"What are the 5 most common questions a person whose state currently is Little(Low) Anger might ask a psychological counselor now on the topic of Self esteem and what is a similar answer that can be given? Give the results in csv format as a table with the emotion(Anger) followed by intensity(Little(Low)) then followed by the question then the answer, with it being separated by '|' instead of commas."
"What are the 5 most common questions a person whose state currently is Kind of(Medium) Anger might ask a psychological counselor now on the topic of Self esteem and what is a similar answer that can be given? Give the results in csv format as a table with the emotion(Anger) followed by intensity(Kind of(Medium)) then followed by the question then the answer, with it being separated by '|' instead of commas."
"What are the 5 most common questions a person whose state currently is Extremely(High) Anger might ask a psychological counselor now on the topic of Self esteem and what is a similar answer that can be given? Give the results in csv format as a table with the emotion(Anger) followed by intensity(Extremely(High)) then followed by the question then the answer, with it being separated by '|' instead of commas."
"What are the 5 most common questions a person whose state currently is Little(Low) Disgust might ask a psychological counselor now on the topic of Self esteem and what is a similar answer that can be given? Give the results in csv format as a table with the emotion(Disgust) followed by intensity(Little(Low)) then followed by the question then the answer, with it being separated by '|' instead of commas."
"What are the 5 most common questions a person whose state currently is Kind of(Medium) Disgust might ask a psychological counselor now on the topic of Self esteem and what is a similar answer that can be given? Give the results in csv format as a table with the emotion(Disgust) followed by intensity(Kind of(Medium)) then followed by the question then the answer, with it being separated by '|' instead of commas."
"What are the 5 most common questions a person whose state currently is Extremely(High) Disgust might ask a psychological counselor now on the topic of Self esteem and what is a similar answer that can be given? Give the results in csv format as a table with the emotion(Disgust) followed by intensity(Extremely(High)) then followed by the question then the answer, with it being separated by '|' instead of commas."
"What are the 5 most common questions a person whose state currently is Little(Low) Fear might ask a psychological counselor now on the topic of Self esteem and what is a similar answer that can be given? Give the results in csv format as a table with the emotion(Fear) followed by intensity(Little(Low)) then followed by the question then the answer, with it being separated by '|' instead of commas."
"What are the 5 most common questions a person whose state currently is Kind of(Medium) Fear might ask a psychological counselor now on the topic of Self esteem and what is a similar answer that can be given? Give the results in csv format as a table with the emotion(Fear) followed by intensity(Kind of(Medium)) then followed by the question then the answer, with it being separated by '|' instead of commas."
"What are the 5 most common questions a person whose state currently is Extremely(High) Fear might ask a psychological counselor now on the topic of Self esteem and what is a similar answer that can be given? Give the results in csv format as a table with the emotion(Fear) followed by intensity(Extremely(High)) then followed by the question then the answer, with it being separated by '|' instead of commas."
"What are the 5 most common questions a person whose state currently is Little(Low) Happy might ask a psychological counselor now on the topic of Self esteem and what is a similar answer that can be given? Give the results in csv format as a table with the emotion(Happy) followed by intensity(Little(Low)) then followed by the question then the answer, with it being separated by '|' instead of commas."
"What are the 5 most common questions a person whose state currently is Kind of(Medium) Happy might ask a psychological counselor now on the topic of Self esteem and what is a similar answer that can be given? Give the results in csv format as a table with the emotion(Happy) followed by intensity(Kind of(Medium)) then followed by the question then the answer, with it being separated by '|' instead of commas."
